,ampl,center,sigma,offset,residue,ix,iy,direction
0,8962.3,-33.35,1.665,11910.8,67288.92,0,0,x
1,12827.8,-9.25,1.63,13671.6,103603.36,1,0,x
2,13552.4,14.92,1.586,14302.2,105898.81,2,0,x
3,12328.2,39.12,1.677,13040.3,126666.61,3,0,x
4,7666.4,-34.0,1.524,13227.2,44112.92,0,1,x
5,11147.9,-9.79,1.557,14673.7,85696.38,1,1,x
6,11910.7,14.37,1.542,14969.9,66528.41,2,1,x
7,11715.8,38.66,1.559,13820.9,124827.21,3,1,x
8,8028.6,-34.58,1.623,12600.6,82116.37,0,2,x
9,11381.9,-10.39,1.545,15463.0,49888.4,1,2,x
10,11771.2,13.84,1.544,14633.7,45648.86,2,2,x
11,10923.9,38.03,1.547,13450.0,66733.23,3,2,x
12,7996.1,-35.18,1.669,11595.3,61952.9,0,3,x
13,10227.9,-10.99,1.598,13097.2,71313.79,1,3,x
14,12001.2,13.23,1.537,13245.6,67355.95,2,3,x
15,9746.8,37.49,1.562,11227.4,77016.02,3,3,x
0,10286.1,-102.54,1.585,11993.9,103367.72,0,0,y
1,12344.1,-102.03,1.553,13893.1,130357.21,1,0,y
2,12499.8,-101.46,1.482,14547.5,66243.03,2,0,y
3,12985.1,-100.83,1.495,13514.3,70109.94,3,0,y
4,10772.9,-79.38,1.489,12967.0,58065.13,0,1,y
5,12031.6,-78.87,1.468,14831.5,98655.1,1,1,y
6,11950.2,-78.3,1.44,15120.3,97110.11,2,1,y
7,12924.4,-77.72,1.494,13688.0,97397.09,3,1,y
8,10542.3,-56.24,1.504,12755.5,94955.37,0,2,y
9,11376.8,-55.68,1.505,15622.1,89219.07,1,2,y
10,10543.1,-55.16,1.505,14629.3,53729.51,2,2,y
11,10921.6,-54.54,1.522,13165.0,97825.75,3,2,y
12,8841.8,-33.18,1.547,11814.8,51278.15,0,3,y
13,8382.6,-32.59,1.57,13190.5,82060.21,1,3,y
14,8435.7,-31.93,1.596,13044.7,90312.98,2,3,y
15,8354.9,-31.32,1.66,10688.8,79676.72,3,3,y
